"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
26/11/2011 3.00,"35,7","32,8",0,,"13,8"
26/11/2011 4.00,"26,7","23,6",,"0,4","18,3"
26/11/2011 5.00,"23,2","20,9","0,1","0,4",
26/11/2011 6.00,"22,3","18,9","0,2","0,4","28,7"
26/11/2011 7.00,"29,3","24,5","0,1","0,4","23,4"
26/11/2011 8.00,"50,7",33,"0,3","0,5","17,2"
26/11/2011 9.00,"75,8","44,8","1,2","0,9","10,4"
26/11/2011 10.00,"53,6","40,2","0,8","0,7","14,2"
26/11/2011 11.00,35,"28,2","0,2","0,5","26,1"
26/11/2011 12.00,"29,1","23,3","0,2","0,4","35,1"
26/11/2011 13.00,"30,1","23,9","0,2","0,4","36,8"
26/11/2011 14.00,"44,7","33,1","0,2","0,6","33,5"
26/11/2011 15.00,"34,6","28,5","0,4","0,5","37,6"
26/11/2011 16.00,"30,6","26,2","0,2","0,6","39,7"
26/11/2011 17.00,"31,2","26,9","0,3","0,7","40,8"
26/11/2011 18.00,"35,5","30,7","0,3","0,6","39,9"
26/11/2011 19.00,"28,7","24,9","0,2","0,5",49
26/11/2011 20.00,"32,7","27,5","0,1","0,6","45,6"
26/11/2011 21.00,"31,6","27,2","0,3","0,6",41
26/11/2011 22.00,"30,4","26,2","0,2","0,6","39,2"
26/11/2011 23.00,"25,9","21,8","0,1","0,5","39,8"
27/11/2011 0.00,"23,2","19,8","0,2","0,4","37,3"
27/11/2011 1.00,"20,3","16,9","0,4","0,3","38,1"
27/11/2011 2.00,"19,3","15,7","0,6","0,3","39,9"
27/11/2011 3.00,"17,5","14,2","0,4","0,3","38,1"
27/11/2011 4.00,"20,8","16,5","0,6","0,3","39,1"
27/11/2011 5.00,"17,5","14,3","0,5","0,3","41,4"
27/11/2011 6.00,"16,4","13,4","0,4","0,3","41,7"
27/11/2011 7.00,18,"14,8","0,4","0,3","39,3"
27/11/2011 8.00,20,"16,2","0,6","0,3","40,1"
27/11/2011 9.00,21,"17,1","0,7","0,3","38,6"
27/11/2011 10.00,20,"15,5","0,4","0,3","41,8"
27/11/2011 11.00,"20,1","15,1","0,6","0,3","46,5"
27/11/2011 12.00,"19,5","15,1","0,3","0,3",50
27/11/2011 13.00,"21,5","17,1","0,5","0,3","55,9"
27/11/2011 14.00,"21,6","17,7","0,6","0,3","57,9"
27/11/2011 15.00,"17,7","13,8","0,6","0,3",63
27/11/2011 16.00,"19,8","16,2","0,7","0,4","60,9"
27/11/2011 17.00,28,"23,9","0,7","0,6","53,4"
27/11/2011 18.00,"41,7","36,6","0,6",1,38
27/11/2011 19.00,"43,8","37,2",1,"0,9","32,1"
27/11/2011 20.00,"47,8","41,3","0,8","1,1","28,2"
27/11/2011 21.00,49,"41,3","0,8","0,9","24,4"
27/11/2011 22.00,40,"34,4","1,2","0,6","26,7"
27/11/2011 23.00,"33,9","29,8","0,7","0,7","29,5"
28/11/2011 0.00,"32,3","27,7","0,6","0,7","25,6"
28/11/2011 1.00,"24,8","21,4","0,1","0,5","28,1"
28/11/2011 2.00,,,"0,1","0,4","30,4"
28/11/2011 3.00,,,"0,2","0,4","34,8"
28/11/2011 4.00,"26,8",24,,"0,3","38,5"
28/11/2011 5.00,"19,5","16,4","0,6","0,3",
28/11/2011 6.00,"18,1","15,1","0,6","0,3","39,6"
28/11/2011 7.00,"37,8","30,2","0,7","0,3","26,9"
28/11/2011 8.00,"86,3","57,3","1,3","2,4","10,1"
28/11/2011 9.00,"136,1","73,4","2,8","2,8","8,5"
28/11/2011 10.00,"87,8","59,1","1,9","1,4","17,8"
28/11/2011 11.00,"51,2",42,"1,6","0,6","31,4"
28/11/2011 12.00,"44,5",35,"1,9","0,4","40,7"
28/11/2011 13.00,"42,4","33,9","2,1","0,3","42,7"
28/11/2011 14.00,46,"34,6","1,7","0,5","46,4"
28/11/2011 15.00,34,28,"0,8","0,4","52,3"
28/11/2011 16.00,"36,6","30,8","0,9","0,4","49,1"
28/11/2011 17.00,"42,8","36,1","0,6","0,7","44,6"
28/11/2011 18.00,"58,3","49,2","1,4","1,2","32,4"
28/11/2011 19.00,"75,1",62,"1,2","1,6","20,5"
28/11/2011 20.00,"69,6","58,7","1,7","1,7","20,1"
28/11/2011 21.00,"67,3","56,4","1,5","1,7",22
28/11/2011 22.00,"56,2","49,9","1,7","1,5","21,6"
28/11/2011 23.00,"37,5","33,8","0,9",1,"29,2"
29/11/2011 0.00,"29,9","26,4",1,"0,7","33,5"
29/11/2011 1.00,24,"21,2","0,1","0,5","35,7"
29/11/2011 2.00,"22,6","19,7","0,2","0,4","32,1"
29/11/2011 3.00,"19,8","16,9","0,1",,"31,3"
29/11/2011 4.00,"17,3","14,2","0,1","0,3","32,5"
29/11/2011 5.00,"16,6","13,4",0,"0,3","33,9"
29/11/2011 6.00,"19,8",16,"0,2","0,3","37,3"
29/11/2011 7.00,"37,1","29,2","0,3","0,4","28,7"
29/11/2011 8.00,"106,5","53,7","0,8","0,7","13,5"
29/11/2011 9.00,"91,3","56,1","1,1","0,9","14,6"
29/11/2011 10.00,53,"42,7","0,4","0,5","25,4"
29/11/2011 11.00,"36,9","29,8",0,"0,4","34,7"
29/11/2011 12.00,33,"25,7","0,2","0,4","40,7"
29/11/2011 13.00,"38,2",30,"0,1","0,4","40,8"
29/11/2011 14.00,51,"39,5","0,3","0,5",35
29/11/2011 15.00,"49,9","39,4","0,2","0,5","34,8"
29/11/2011 16.00,"45,4","37,9","0,2","0,5","38,3"
29/11/2011 17.00,"46,8","40,4","0,2","0,9","36,6"
29/11/2011 18.00,"55,3","48,4","0,5","1,2","28,2"
29/11/2011 19.00,"63,1",55,"0,3","1,6","22,3"
29/11/2011 20.00,"68,4","59,2","0,3","1,9","19,4"
29/11/2011 21.00,"80,3","64,6","0,6","2,3","14,9"
29/11/2011 22.00,"62,5","56,2","0,6",2,"17,2"
29/11/2011 23.00,"45,8","42,4","0,3","1,4","20,2"
30/11/2011 0.00,"33,2","30,6","0,1","0,8","23,2"
30/11/2011 1.00,"25,9",23,"1,2","0,6","26,1"
30/11/2011 2.00,,,"1,5","0,6","24,1"
30/11/2011 3.00,"32,6","29,7","1,3","0,5",29
30/11/2011 4.00,"25,6","22,8",,"0,5","29,8"
30/11/2011 5.00,"22,5","19,2","0,3","0,5",
30/11/2011 6.00,"22,3","18,7","0,3","0,4","34,8"
30/11/2011 7.00,29,"24,4","0,5","0,5","29,4"
30/11/2011 8.00,"63,7","37,9","0,9","0,6","20,5"
30/11/2011 9.00,92,"54,5","1,4",1,"11,7"
30/11/2011 10.00,"60,9","46,9","0,7","0,7","15,8"
30/11/2011 11.00,"46,7","35,6","0,5","0,5","24,8"
30/11/2011 12.00,"36,8","29,7","0,3","0,4","36,9"
30/11/2011 13.00,"38,4","31,2","0,6","0,4","42,2"
30/11/2011 14.00,"42,5","33,7","0,3","0,6","42,9"
30/11/2011 15.00,"34,1","27,7","0,1","0,5","47,6"
30/11/2011 16.00,"32,2","27,1","0,2","0,6","49,4"
30/11/2011 17.00,"38,9","33,8","0,4","0,8","43,4"
30/11/2011 18.00,"46,6","40,8","0,6",1,"36,6"
30/11/2011 19.00,"53,6",47,"0,7","1,4","29,2"
30/11/2011 20.00,"57,5","50,9","0,7","1,6","25,9"
30/11/2011 21.00,"63,3","52,4","0,8","1,8","24,1"
30/11/2011 22.00,"46,2","41,6","0,8","1,3","26,4"
30/11/2011 23.00,"36,2","32,4","0,6","1,1","29,9"
01/12/2011 0.00,"28,8","26,1","0,4","0,8","31,5"
01/12/2011 1.00,"22,4","19,6","0,3","0,6","36,9"
01/12/2011 2.00,21,"17,7","0,1","0,5",38
01/12/2011 3.00,20,"16,9","0,3","0,5","39,5"
01/12/2011 4.00,"20,1","17,4","0,3","0,4","40,6"
01/12/2011 5.00,"19,1","16,2","0,2","0,4","41,2"
01/12/2011 6.00,"18,6","15,7","0,2","0,4","41,2"
01/12/2011 7.00,"24,5","19,6","0,4","0,4","38,4"
01/12/2011 8.00,"41,8","29,6","0,5","0,4","33,5"
01/12/2011 9.00,"57,5","42,2","0,8","0,6","25,1"
01/12/2011 10.00,"46,7","36,2","0,5","0,5","28,9"
01/12/2011 11.00,"32,7","26,5","0,4","0,4","38,4"
01/12/2011 12.00,"29,1","22,9","0,3","0,4","48,2"
01/12/2011 13.00,"28,5","22,8","0,2","0,4","55,5"
01/12/2011 14.00,"34,8","26,8","0,2","0,5","55,8"
01/12/2011 15.00,"31,2","23,3","0,2","0,4","59,1"
01/12/2011 16.00,"37,3","30,2","0,3","0,6","54,7"
01/12/2011 17.00,"42,6","37,4","0,3","0,9","42,3"
01/12/2011 18.00,"62,7",52,"0,6","1,2","27,1"
01/12/2011 19.00,"63,2","54,1","0,5","1,4","23,7"
01/12/2011 20.00,"61,2",53,"0,7","1,3","24,4"
01/12/2011 21.00,"67,5","57,8","0,6","1,8","18,8"
01/12/2011 22.00,"76,3","61,6","0,9",2,"12,5"
01/12/2011 23.00,"53,9","47,8","0,5","1,5","15,1"
02/12/2011 0.00,"39,6",36,"0,5",1,"20,3"
02/12/2011 1.00,"30,1","26,2",0,"0,7","26,1"
02/12/2011 2.00,,,0,"0,6","29,5"
02/12/2011 3.00,,,0,,"33,2"
02/12/2011 4.00,"23,6","20,6",,"0,4","34,4"
02/12/2011 5.00,"21,2","18,2",0,"0,3",
02/12/2011 6.00,"20,5",18,0,"0,3","37,1"
02/12/2011 7.00,"36,9","31,4",0,"0,4","27,9"
02/12/2011 8.00,"99,1","59,4","0,1","3,3",14
02/12/2011 9.00,142,"84,4","0,7","4,4","8,4"
02/12/2011 10.00,"103,5","73,7","1,1","3,7","11,9"
02/12/2011 11.00,"72,1","56,2","1,8","1,8","23,5"
02/12/2011 12.00,"43,4","36,1","0,9","0,8","41,6"
02/12/2011 13.00,"34,4","27,4",0,"0,5","54,4"
02/12/2011 14.00,"35,4","27,8",0,"0,4","57,5"
02/12/2011 15.00,"26,7","22,8",0,"0,4","60,7"
02/12/2011 16.00,"29,8",25,0,"0,4","58,8"
02/12/2011 17.00,"30,3","26,2",0,"0,5","51,4"
02/12/2011 18.00,"33,8","29,7",0,"0,5","42,4"
02/12/2011 19.00,"63,8",49,0,"0,6","25,9"
02/12/2011 20.00,"57,2","49,3",0,"0,6","18,5"
02/12/2011 21.00,"90,1","59,1","0,1","1,6",8
02/12/2011 22.00,"71,5","54,5",0,"1,2",9
02/12/2011 23.00,"48,2","42,3",0,"0,8","18,3"
03/12/2011 0.00,"34,5","31,3",0,"0,5","24,9"
03/12/2011 1.00,"30,5","27,4",0,"0,5","22,6"
03/12/2011 2.00,"25,1","22,2",0,"0,4","26,2"
03/12/2011 3.00,"21,3","18,2",0,"0,3","30,1"
03/12/2011 4.00,19,"16,3",0,"0,3","31,4"
03/12/2011 5.00,"20,7","17,8",0,"0,3","31,8"
03/12/2011 6.00,"20,9","17,7",0,"0,3","37,2"
03/12/2011 7.00,"31,4","26,6",0,"0,4","34,8"
03/12/2011 8.00,"75,3","52,5","0,1","0,5","18,4"
03/12/2011 9.00,"92,1","58,3","0,2","0,5","18,8"
03/12/2011 10.00,"48,3","41,7",0,"0,4","31,2"
03/12/2011 11.00,"35,2","28,9",0,"0,4","41,2"
03/12/2011 12.00,"41,7","27,3",0,"0,3","49,5"
03/12/2011 13.00,"31,5","24,6",0,"0,3","54,4"
03/12/2011 14.00,"43,8","31,2",0,"0,5","53,8"
03/12/2011 15.00,"26,3","21,2",0,"0,3","61,1"
03/12/2011 16.00,"23,7","19,2",0,"0,3","61,3"
03/12/2011 17.00,"32,8","24,4",0,"0,3","52,6"
03/12/2011 18.00,"33,9","27,2",0,"0,3",45
03/12/2011 19.00,"35,2","28,7",0,"0,4","43,9"
03/12/2011 20.00,"39,8","31,9",0,"0,4",39
03/12/2011 21.00,"39,7","33,7",0,"0,4","32,9"
03/12/2011 22.00,"34,6","29,6",0,"0,4","33,9"
03/12/2011 23.00,"31,9","27,5",0,"0,5","29,5"
04/12/2011 0.00,"27,8","24,5",0,"0,4","31,6"
04/12/2011 1.00,"24,5","21,1",0,"0,4","34,4"
04/12/2011 2.00,,,0,"0,3","37,4"
04/12/2011 3.00,"30,8","28,3",0,"0,3","39,7"
04/12/2011 4.00,"23,7",21,,"0,3","38,7"
04/12/2011 5.00,"20,1","17,5","0,4","0,3",
04/12/2011 6.00,19,"15,9","0,4","0,2","39,8"
04/12/2011 7.00,"22,3","18,4","0,5","0,3","32,9"
04/12/2011 8.00,"23,2","20,2","0,9","0,3","29,1"
04/12/2011 9.00,"28,1","23,2","0,9","0,3","25,1"
04/12/2011 10.00,"26,1","20,7","0,5","0,3","26,7"
04/12/2011 11.00,"21,9","16,8","0,3","0,3","35,4"
04/12/2011 12.00,19,"14,8","0,3","0,2","47,6"
04/12/2011 13.00,"18,1","13,3","0,1","0,2",60
04/12/2011 14.00,"15,8",12,"0,2","0,2","64,6"
04/12/2011 15.00,"16,2","12,1","0,1","0,2","62,7"
04/12/2011 16.00,"18,4",14,"0,3","0,2","56,2"
04/12/2011 17.00,"24,6","18,8","0,2","0,3","48,5"
04/12/2011 18.00,"25,5","21,3","0,3","0,3","44,2"
04/12/2011 19.00,"24,3","19,4","0,4","0,3","46,5"
04/12/2011 20.00,"26,8","22,1","0,4","0,3",40
04/12/2011 21.00,"29,6","24,6","0,3","0,4",32
04/12/2011 22.00,"28,6",24,"0,4","0,4","34,6"
04/12/2011 23.00,"24,6","20,6","0,5","0,3","34,9"
05/12/2011 0.00,"31,4","24,3","0,3","0,3","27,9"
05/12/2011 1.00,"24,2","20,9","0,3","0,3","24,1"
05/12/2011 2.00,"21,2","17,6","0,4","0,3","26,8"
05/12/2011 3.00,"17,1","14,1","0,4",,"36,6"
05/12/2011 4.00,"14,9",12,"0,3","0,2","35,3"
05/12/2011 5.00,"13,6","10,6","0,3","0,2","35,7"
05/12/2011 6.00,"13,6","10,7","0,2","0,2","45,5"
05/12/2011 7.00,"23,6",18,"0,2","0,2","45,3"
05/12/2011 8.00,"44,8","31,5","0,4","0,3","28,3"
05/12/2011 9.00,"59,7","40,6","0,9","0,5",25
05/12/2011 10.00,"34,2","27,4","0,4","0,5","39,1"
05/12/2011 11.00,"28,7","21,3","0,4","0,3","46,3"
05/12/2011 12.00,"24,8","18,4","0,3","0,3","51,3"
05/12/2011 13.00,"23,9",18,"0,2","0,3","58,1"
05/12/2011 14.00,"29,1","20,1","0,3","0,3","58,8"
05/12/2011 15.00,"21,6","16,3","0,2","0,2","59,5"
05/12/2011 16.00,"20,7","15,7","0,2","0,2","59,8"
05/12/2011 17.00,"23,2","17,7","0,3","0,3",57
05/12/2011 18.00,"23,9","18,7","0,4","0,2","55,5"
05/12/2011 19.00,"22,8","17,5","0,5","0,2","59,5"
05/12/2011 20.00,"19,6","15,3","0,3","0,2","66,9"
05/12/2011 21.00,"19,9","15,1","0,5","0,2","68,9"
05/12/2011 22.00,16,"12,2","0,4","0,2","72,2"
05/12/2011 23.00,"12,8","9,5","0,4","0,2","76,6"
06/12/2011 0.00,12,9,"0,5","0,2","74,9"
06/12/2011 1.00,11,"8,1","0,9","0,2","74,4"
06/12/2011 2.00,,,1,"0,2","75,6"
06/12/2011 3.00,"21,7","18,7",1,"0,2","71,1"
06/12/2011 4.00,"15,7","13,1",,"0,2",69
06/12/2011 5.00,"13,2","10,7","0,5","0,2",
06/12/2011 6.00,"13,2","10,2","0,2","0,2","61,8"
06/12/2011 7.00,"16,9","13,5","0,2","0,2","58,8"
06/12/2011 8.00,"98,1","56,7","1,1","0,8","27,1"
06/12/2011 9.00,"129,9","72,2","2,1","1,4","8,5"
06/12/2011 10.00,"53,6","43,4","0,9","1,8","32,1"
06/12/2011 11.00,"38,1","28,4","0,5","0,7","45,7"
06/12/2011 12.00,"33,3",26,"0,4","0,4","49,3"
06/12/2011 13.00,"31,9","23,2","0,6","0,3","55,2"
06/12/2011 14.00,"40,8","28,8","0,8","0,4","54,2"
06/12/2011 15.00,"33,9","24,4","0,5","0,3","56,4"
06/12/2011 16.00,"29,6","23,4","0,5","0,3","57,1"
06/12/2011 17.00,"35,8","28,9","0,3","0,4","48,8"
06/12/2011 18.00,"37,7","28,3","0,3","0,3","45,5"
06/12/2011 19.00,"69,8","54,3","0,8",1,"29,3"
06/12/2011 20.00,"72,2","60,6","1,1","1,4","17,9"
06/12/2011 21.00,"63,2","48,1","0,9","0,8","17,8"
06/12/2011 22.00,"63,6","55,1","1,1","1,2","14,1"
06/12/2011 23.00,"37,7","34,8","0,7","0,7","26,2"
07/12/2011 0.00,"29,6","26,3","0,7","0,5","33,2"
07/12/2011 1.00,"18,7","15,6","0,1","0,3","49,6"
07/12/2011 2.00,"17,6","14,4","0,2","0,2","53,8"
07/12/2011 3.00,"15,1","12,2",0,"0,2","52,3"
07/12/2011 4.00,"13,1","10,6","0,2","0,2","50,4"
07/12/2011 5.00,"13,4","10,7","0,1","0,2","53,8"
07/12/2011 6.00,"16,4","13,1","0,2","0,2","53,7"
07/12/2011 7.00,"28,1","22,5","0,5","0,2","41,7"
07/12/2011 8.00,"66,5","45,2","0,7","1,5","21,9"
07/12/2011 9.00,"97,1","56,6","1,7","1,5",15
07/12/2011 10.00,"57,9","42,7","1,1","0,7","23,8"
07/12/2011 11.00,"36,7","28,9","0,6","0,4","38,3"
07/12/2011 12.00,"30,2","23,8","0,3","0,3","48,1"
07/12/2011 13.00,"29,7","23,5","0,1","0,3","51,8"
07/12/2011 14.00,"37,5","26,9","0,4","0,4","53,7"
07/12/2011 15.00,"29,2","23,6","0,3","0,3","57,5"
07/12/2011 16.00,"30,9","25,4","0,2","0,4","58,5"
07/12/2011 17.00,"49,9","43,2","0,4","0,9","43,3"
07/12/2011 18.00,"59,1","46,4","0,5","0,7","24,3"
07/12/2011 19.00,"59,7","46,1","0,6","0,5","15,5"
07/12/2011 20.00,"61,6","44,7","0,8","0,5","11,2"
07/12/2011 21.00,"73,3",51,"0,9",1,"14,9"
07/12/2011 22.00,"51,5","45,9","0,7","0,9","13,9"
07/12/2011 23.00,"41,9",38,"0,6","0,8","21,6"
08/12/2011 0.00,"50,8","45,2","0,9","1,1","14,3"
08/12/2011 1.00,"47,8","40,3","0,6","0,8","19,7"
08/12/2011 2.00,,,"0,4","0,5","27,3"
08/12/2011 3.00,,,"0,2",,"26,4"
08/12/2011 4.00,"41,7","37,6",,"0,4","25,1"
08/12/2011 5.00,"26,2","23,6","0,4","0,3",
08/12/2011 6.00,"22,7","19,7","0,2","0,3","33,2"
08/12/2011 7.00,"22,3",19,"0,2","0,3","32,5"
08/12/2011 8.00,"26,3","21,6","0,2","0,4","25,3"
08/12/2011 9.00,"30,7","24,4","0,2","0,8","21,5"
08/12/2011 10.00,"28,2","22,9","0,5","0,9","29,7"
08/12/2011 11.00,"31,4",24,"0,3","0,6","39,6"
08/12/2011 12.00,25,20,"0,3","0,4","50,4"
08/12/2011 13.00,"24,4","19,7",0,"0,3","55,6"
08/12/2011 14.00,"22,2","18,6","0,1","0,4","58,8"
08/12/2011 15.00,"21,1","17,5","0,2","0,4","60,6"
08/12/2011 16.00,"23,6","20,3","0,2","0,5","58,4"
08/12/2011 17.00,37,"32,2","0,4","0,9","46,3"
08/12/2011 18.00,"58,8","50,5","0,6","1,5","32,5"
08/12/2011 19.00,"51,8","47,9","0,4",1,"26,6"
08/12/2011 20.00,"39,1","34,8","0,9","0,7",31
08/12/2011 21.00,"37,8","33,3","0,5","0,6","31,3"
08/12/2011 22.00,"29,5","26,4","0,4","0,4","39,4"
08/12/2011 23.00,34,"30,3","0,5","0,5","37,3"
09/12/2011 0.00,"44,1","38,5","0,6","0,9","23,7"
09/12/2011 1.00,"45,6","39,3","0,3","0,9","21,2"
09/12/2011 2.00,"26,7","23,3","0,5","0,4","34,5"
09/12/2011 3.00,"18,6","15,6","0,5","0,3","39,7"
09/12/2011 4.00,"16,2","13,8","0,3","0,3","32,3"
09/12/2011 5.00,"21,7","18,5",0,"0,3",24
09/12/2011 6.00,24,"20,6",0,"0,2","25,4"
09/12/2011 7.00,"34,2","29,1","0,1","0,3","25,7"
09/12/2011 8.00,"117,3","47,7","1,3","0,4",12
09/12/2011 9.00,"120,2",57,"2,2",1,"6,9"
09/12/2011 10.00,"76,4","51,6","0,5","0,7","15,8"
09/12/2011 11.00,"31,7","26,6","0,3","0,3","41,6"
09/12/2011 12.00,"24,1",19,"0,2","0,2","51,9"
09/12/2011 13.00,"27,8","21,1","0,1","0,2","51,5"
09/12/2011 14.00,"31,6","22,8","0,1","0,3",54
09/12/2011 15.00,"46,8","32,4","0,3","0,6","49,8"
09/12/2011 16.00,"30,4","23,9","0,1","0,3","54,5"
09/12/2011 17.00,"34,2","26,6","0,1","0,3",48
09/12/2011 18.00,"42,2","32,4","0,3","0,3","42,6"
09/12/2011 19.00,"50,3",39,"0,3","0,4","35,9"
09/12/2011 20.00,"39,2","32,5","0,2","0,3","39,8"
09/12/2011 21.00,"36,6","29,8","0,2","0,3","40,3"
09/12/2011 22.00,30,"25,8",0,"0,3","39,6"
09/12/2011 23.00,"24,9","20,8","0,2","0,3","38,3"
10/12/2011 0.00,"24,8","19,7","0,1","0,3","35,6"
10/12/2011 1.00,"20,8","17,6","0,9","0,3","33,2"
10/12/2011 2.00,,,"0,9","0,3","37,3"
10/12/2011 3.00,"25,4","22,7","0,9","0,2","38,1"
10/12/2011 4.00,"19,6","16,9",,"0,2","34,2"
10/12/2011 5.00,"16,2","13,8","0,2","0,2",
10/12/2011 6.00,"17,2","14,2","0,2","0,3","29,3"
10/12/2011 7.00,"18,6","15,3","0,1","0,3","34,8"
10/12/2011 8.00,"45,1","33,5","0,4","0,5","19,4"
10/12/2011 9.00,"66,6","45,9","0,9",1,"10,2"
10/12/2011 10.00,"52,4","39,8","0,5","0,9","15,3"
10/12/2011 11.00,"52,2",34,"0,3","0,6",26
10/12/2011 12.00,"26,9","21,2","0,2","0,4","44,8"
10/12/2011 13.00,"27,4","19,9","0,1","0,3","52,2"
10/12/2011 14.00,"42,9","29,4","0,4","0,6",47
10/12/2011 15.00,"25,4","19,8","0,1","0,3","52,7"
10/12/2011 16.00,"20,1","15,7","0,1","0,3","58,7"
10/12/2011 17.00,"24,4","19,5","0,1","0,4","49,8"
10/12/2011 18.00,"34,1","26,4","0,1","0,4","40,4"
10/12/2011 19.00,"37,8","30,5","0,1","0,4",35
10/12/2011 20.00,"45,1",36,"0,2","0,5","28,1"
10/12/2011 21.00,"45,7","38,6","0,2","0,6","21,9"
10/12/2011 22.00,"51,7","41,6","0,2","0,9","17,3"
10/12/2011 23.00,"41,5","35,3","0,1","0,7","22,6"
11/12/2011 0.00,"29,6","26,4",0,"0,5","28,8"
11/12/2011 1.00,"26,1","22,7",,"0,4","27,6"
11/12/2011 2.00,"24,6","21,2",,"0,3","30,2"
11/12/2011 3.00,"29,8","23,8",,,"29,7"
11/12/2011 4.00,"21,8","18,8",,"0,3","33,3"
11/12/2011 5.00,"16,9","14,8",,"0,3","26,5"
11/12/2011 6.00,"15,1","12,4",,"0,3","28,8"
11/12/2011 7.00,"17,4","13,9",,"0,3","26,6"
11/12/2011 8.00,"20,6","16,5",,"0,3","22,7"
11/12/2011 9.00,"25,5",20,,"0,3","21,5"
11/12/2011 10.00,"27,8","21,3",,"0,4","20,8"
11/12/2011 11.00,"27,2","21,3",,"0,4","25,4"
11/12/2011 12.00,"25,3","19,7",,"0,4",34
11/12/2011 13.00,"23,9","18,4",,"0,3","42,7"
11/12/2011 14.00,"20,2","15,5",,"0,3","49,3"
11/12/2011 15.00,"18,3",14,,"0,3","52,2"
11/12/2011 16.00,"23,2","18,4",,"0,3",46
11/12/2011 17.00,"22,7","17,9",,"0,3","38,4"
11/12/2011 18.00,"22,2","18,3",,"0,3","40,5"
11/12/2011 19.00,"25,8","21,4",,"0,4","41,2"
11/12/2011 20.00,24,"20,1",,"0,4","41,5"
11/12/2011 21.00,"30,1","25,4",,"0,4","31,4"
11/12/2011 22.00,"27,1","23,4",,"0,4",29
11/12/2011 23.00,"31,1","23,6",,"0,5","27,5"
12/12/2011 0.00,"41,1","27,3",,"0,4","26,4"
12/12/2011 1.00,"40,6","32,7",,"0,4","18,5"
12/12/2011 2.00,,,,"0,4","20,9"
12/12/2011 3.00,"30,4","27,2",,"0,3","21,1"
12/12/2011 4.00,"20,1","17,5",,"0,3","33,1"
12/12/2011 5.00,"16,6","13,7","0,1","0,2",
12/12/2011 6.00,"15,4","12,4","0,2","0,2","40,8"
12/12/2011 7.00,"28,5","21,7","0,1","0,2","32,6"
12/12/2011 8.00,"44,2","33,7","0,2","0,3",23
12/12/2011 9.00,"73,8","47,8","0,6","0,7","11,9"
12/12/2011 10.00,"77,5","50,8","0,7","0,8","8,2"
12/12/2011 11.00,"49,2","38,6","0,4","0,4","19,9"
12/12/2011 12.00,"31,3","23,7","0,3","0,3","38,9"
12/12/2011 13.00,"32,4","23,5","0,2","0,3","41,1"
12/12/2011 14.00,"50,6","34,3","0,5","0,6",35
12/12/2011 15.00,"35,8","27,9","0,2","0,4","36,7"
12/12/2011 16.00,"27,8","20,7","0,4","0,4","42,3"
12/12/2011 17.00,"36,8","27,1","0,4","0,4","38,3"
12/12/2011 18.00,"36,7","29,8","0,2","0,4","33,5"
12/12/2011 19.00,46,"35,6","0,3","0,5",26
12/12/2011 20.00,"52,5","40,2","0,5","0,5","18,6"
12/12/2011 21.00,"47,8","37,6","0,5","0,6","22,6"
12/12/2011 22.00,"45,5","39,3","0,3","0,6","18,9"
12/12/2011 23.00,"47,4","38,7","0,4","0,6","17,4"
13/12/2011 0.00,"32,9","29,7","0,2","0,5","23,3"
13/12/2011 1.00,"23,3","20,6",0,"0,4","30,8"
13/12/2011 2.00,"20,2","17,4",0,"0,3","29,3"
13/12/2011 3.00,"18,7","15,6",0,"0,3","30,3"
13/12/2011 4.00,"15,8","12,8",0,"0,2","37,7"
13/12/2011 5.00,"14,8","11,7",0,"0,2","36,6"
13/12/2011 6.00,"14,9","11,9",0,"0,2","34,6"
13/12/2011 7.00,"20,9","17,1",0,"0,2",34
13/12/2011 8.00,"48,1","34,8",0,"0,4","21,7"
13/12/2011 9.00,"67,2","50,2","0,1","0,6","11,9"
13/12/2011 10.00,60,"46,8",0,"0,5","13,3"
13/12/2011 11.00,"43,1","35,3",0,"0,3","26,1"
13/12/2011 12.00,"31,5","24,5",0,"0,3","40,9"
13/12/2011 13.00,"38,6",29,0,"0,4","41,2"
13/12/2011 14.00,"48,7","36,9",0,"0,5","36,3"
13/12/2011 15.00,35,"27,8",0,"0,3",46
13/12/2011 16.00,"24,9","20,4","0,1","0,3","53,7"
13/12/2011 17.00,"40,8","32,5","0,1","0,5","45,6"
13/12/2011 18.00,"62,6","54,3","0,2",1,"26,7"
13/12/2011 19.00,"89,7","60,4","1,2","1,8","17,1"
13/12/2011 20.00,"110,9","60,8","1,9","2,2","6,4"
13/12/2011 21.00,"69,1","49,4","0,4","1,2","5,3"
13/12/2011 22.00,"58,9","46,7","0,2","1,2","5,7"
13/12/2011 23.00,"39,1","35,1","0,1","0,8","14,6"
14/12/2011 0.00,"27,6","24,9",0,"0,5","21,4"
14/12/2011 1.00,"22,7","19,6",0,"0,4","26,7"
14/12/2011 2.00,,,0,"0,3",25
14/12/2011 3.00,,,0,,"30,9"
14/12/2011 4.00,"25,3","22,5",,,28
14/12/2011 5.00,"19,2","16,3","0,2",,
14/12/2011 6.00,"20,2","16,4","0,1",,"17,8"
14/12/2011 7.00,"32,2","23,1","0,3",,"13,4"
14/12/2011 8.00,"57,6","37,5","0,8",,"7,7"
